ID,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
13904,2012/8/7,3,1,8,12,0,2,1,2,0.8,0.7576,0.55,0.1343,283
13905,2012/8/7,3,1,8,13,0,2,1,2,0.8,0.7424,0.52,0.194,253
13906,2012/8/7,3,1,8,14,0,2,1,2,0.82,0.7576,0.46,0.0,261
13907,2012/8/7,3,1,8,15,0,2,1,1,0.8,0.7424,0.52,0.0,306
13908,2012/8/7,3,1,8,16,0,2,1,3,0.76,0.7273,0.66,0.2836,445
13909,2012/8/7,3,1,8,17,0,2,1,2,0.78,0.7424,0.62,0.1343,868
13910,2012/8/7,3,1,8,18,0,2,1,2,0.76,0.7121,0.62,0.1642,814
13911,2012/8/7,3,1,8,19,0,2,1,2,0.76,0.7273,0.66,0.1045,610
13912,2012/8/7,3,1,8,20,0,2,1,2,0.74,0.697,0.7,0.1343,448
13913,2012/8/7,3,1,8,21,0,2,1,2,0.72,0.697,0.74,0.0,317
13914,2012/8/7,3,1,8,22,0,2,1,1,0.72,0.697,0.74,0.1045,224
13915,2012/8/7,3,1,8,23,0,2,1,1,0.72,0.697,0.79,0.0,138
13916,2012/8/8,3,1,8,0,0,3,1,1,0.7,0.6667,0.84,0.0,58
13917,2012/8/8,3,1,8,1,0,3,1,1,0.72,0.697,0.79,0.0,23
13918,2012/8/8,3,1,8,2,0,3,1,1,0.7,0.6667,0.84,0.0,6
13919,2012/8/8,3,1,8,3,0,3,1,1,0.7,0.6667,0.84,0.0,7
13920,2012/8/8,3,1,8,4,0,3,1,1,0.7,0.6667,0.84,0.0,7
13921,2012/8/8,3,1,8,5,0,3,1,2,0.68,0.6364,0.89,0.1642,43
13922,2012/8/8,3,1,8,6,0,3,1,2,0.7,0.6667,0.84,0.1642,173
13923,2012/8/8,3,1,8,7,0,3,1,2,0.7,0.6667,0.84,0.1642,482
13924,2012/8/8,3,1,8,8,0,3,1,2,0.74,0.7273,0.72,0.0896,737
13925,2012/8/8,3,1,8,9,0,3,1,2,0.76,0.7273,0.66,0.0,341
13926,2012/8/8,3,1,8,10,0,3,1,2,0.8,0.7424,0.52,0.1343,214
13927,2012/8/8,3,1,8,11,0,3,1,2,0.8,0.7424,0.52,0.0,239
13928,2012/8/8,3,1,8,12,0,3,1,2,0.8,0.7424,0.52,0.0,280
13929,2012/8/8,3,1,8,13,0,3,1,2,0.8,0.7424,0.52,0.0,313
13930,2012/8/8,3,1,8,14,0,3,1,2,0.8,0.7424,0.52,0.2537,236
13931,2012/8/8,3,1,8,15,0,3,1,2,0.84,0.7576,0.44,0.194,278
13932,2012/8/8,3,1,8,16,0,3,1,2,0.8,0.7424,0.49,0.2836,441
13933,2012/8/8,3,1,8,17,0,3,1,2,0.8,0.7576,0.55,0.2836,858
13934,2012/8/8,3,1,8,18,0,3,1,2,0.78,0.7273,0.55,0.1642,862
13935,2012/8/8,3,1,8,19,0,3,1,1,0.76,0.7273,0.66,0.2239,686
13936,2012/8/8,3,1,8,20,0,3,1,1,0.74,0.697,0.66,0.194,500
13937,2012/8/8,3,1,8,21,0,3,1,1,0.74,0.697,0.66,0.1045,381
13938,2012/8/8,3,1,8,22,0,3,1,1,0.72,0.697,0.74,0.1045,233
13939,2012/8/8,3,1,8,23,0,3,1,1,0.72,0.6818,0.7,0.1343,136
13940,2012/8/9,3,1,8,0,0,4,1,1,0.72,0.697,0.74,0.194,67
13941,2012/8/9,3,1,8,1,0,4,1,1,0.7,0.6667,0.79,0.1343,28
13942,2012/8/9,3,1,8,2,0,4,1,1,0.7,0.6667,0.84,0.0896,14
13943,2012/8/9,3,1,8,3,0,4,1,1,0.68,0.6364,0.83,0.0896,6
13944,2012/8/9,3,1,8,4,0,4,1,2,0.68,0.6364,0.89,0.1343,10
13945,2012/8/9,3,1,8,5,0,4,1,2,0.66,0.5909,0.94,0.0,41
13946,2012/8/9,3,1,8,6,0,4,1,1,0.66,0.6061,0.83,0.1642,167
13947,2012/8/9,3,1,8,7,0,4,1,2,0.7,0.6667,0.84,0.1642,475
13948,2012/8/9,3,1,8,8,0,4,1,1,0.72,0.697,0.74,0.1045,698
13949,2012/8/9,3,1,8,9,0,4,1,1,0.76,0.7273,0.66,0.1642,353
13950,2012/8/9,3,1,8,10,0,4,1,1,0.8,0.7576,0.55,0.2239,205
13951,2012/8/9,3,1,8,11,0,4,1,1,0.84,0.7576,0.44,0.0,260
13952,2012/8/9,3,1,8,12,0,4,1,1,0.84,0.7576,0.44,0.1045,277
13953,2012/8/9,3,1,8,13,0,4,1,1,0.86,0.7879,0.41,0.1045,281
13954,2012/8/9,3,1,8,14,0,4,1,1,0.88,0.7727,0.32,0.2239,247
13955,2012/8/9,3,1,8,15,0,4,1,1,0.88,0.7727,0.32,0.2239,267
13956,2012/8/9,3,1,8,16,0,4,1,1,0.86,0.7727,0.39,0.2537,417
13957,2012/8/9,3,1,8,17,0,4,1,1,0.86,0.7576,0.36,0.2537,810
13958,2012/8/9,3,1,8,18,0,4,1,2,0.82,0.7576,0.46,0.2537,811
13959,2012/8/9,3,1,8,19,0,4,1,1,0.8,0.7576,0.55,0.194,623
13960,2012/8/9,3,1,8,20,0,4,1,1,0.7,0.6515,0.54,0.2836,478
